Image,Original Size (KB),Compressed Size (KB),Compression Ratio,Reduction (%),PSNR (dB),SSIM
gambar1.jpeg,167.95,243.45,1.45,-44.96,29.36,0.9379
gambar10.jpeg,154.45,212.96,1.38,-37.88,32.43,0.9203
gambar11.jpeg,200.31,300.77,1.5,-50.15,32.43,0.9537
gambar12.jpeg,205.63,307.83,1.5,-49.7,31.47,0.93
gambar13.jpeg,186.65,309.23,1.66,-65.68,33.58,0.968
gambar14.jpeg,237.95,343.27,1.44,-44.26,29.86,0.9247
gambar15.jpeg,205.81,294.07,1.43,-42.88,32.62,0.9339
gambar16.jpeg,173.4,140.01,0.81,19.25,29.65,0.9397
gambar17.jpeg,84.53,120.85,1.43,-42.96,29.47,0.9089
gambar18.jpeg,44.07,64.37,1.46,-46.08,35.91,0.944
gambar19.jpeg,85.03,122.64,1.44,-44.24,29.58,0.9197
gambar2.jpeg,226.82,330.43,1.46,-45.68,28.4,0.9186
gambar20.jpeg,95.24,133.76,1.4,-40.45,28.51,0.9056
gambar3.jpeg,225.75,330.79,1.47,-46.53,31.9,0.9257
gambar4.jpeg,187.39,302.43,1.61,-61.39,29.68,0.9195
gambar5.jpeg,75.16,105.53,1.4,-40.4,31.17,0.9253
gambar6.jpeg,76.71,110.99,1.45,-44.7,26.0,0.9016
gambar7.jpeg,215.48,309.03,1.43,-43.41,32.83,0.9417
gambar8.jpeg,153.55,237.02,1.54,-54.36,34.26,0.9612
gambar9.jpeg,169.88,243.25,1.43,-43.19,33.51,0.9417
